iter	Passed	Remaining
0	0	84
1	1	79
2	2	76
3	2	71
4	3	71
5	4	71
6	5	71
7	6	71
8	6	70
9	7	70
10	8	70
11	9	69
12	10	69
13	11	68
14	12	68
15	12	67
16	13	66
17	14	66
18	15	65
19	16	65
20	17	64
21	17	63
22	18	62
23	19	62
24	20	61
25	21	60
26	22	59
27	22	59
28	23	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	53
36	31	52
37	31	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	41	42
49	42	42
50	43	41
51	44	40
52	45	39
53	45	39
54	46	38
55	47	37
56	48	36
57	49	35
58	49	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
